shading_percent,temperature_c,soil_moisture,yield_kg
59.2,26.7,64.8,9.45
45.1,25.7,72.0,5.37
41.8,23.7,52.6,11.92
40.5,25.3,60.2,7.43
61.3,23.7,55.5,10.98
53.4,25.3,55.1,13.96
53.9,25.5,58.4,10.75
82.6,21.9,55.1,12.1
58.2,22.4,67.4,11.27
46.5,23.4,51.2,16.82
39.3,23.0,59.1,15.84
42.6,24.4,59.4,16.27
73.2,25.2,60.5,12.32
58.1,25.9,60.9,12.9
57.8,23.8,72.4,5.65
39.1,25.3,67.4,7.64
64.1,22.2,59.4,11.26
44.8,23.4,53.3,10.94
41.6,24.7,55.8,15.61
39.4,22.4,56.6,15.26
23.7,24.0,60.5,8.88
44.3,23.8,69.2,8.65
37.3,22.6,65.9,7.56
16.6,23.0,62.3,12.08
22.4,23.5,69.5,10.29
59.2,26.7,67.4,5.87
38.8,21.4,59.1,17.42
65.2,22.1,64.5,12.28
45.1,23.4,73.1,10.52
28.4,25.3,67.7,9.55
72.4,22.5,61.6,10.2
25.1,23.7,56.9,15.82
71.1,21.3,53.7,11.98
49.2,23.9,50.1,14.98
61.0,20.9,61.2,12.22
50.1,25.3,66.3,9.48
79.0,25.8,64.1,9.38
48.1,24.5,62.7,13.47
52.2,21.7,55.1,13.59
46.1,22.5,54.8,15.91
60.8,21.9,55.1,14.62
41.4,23.8,55.5,17.05
39.6,22.7,51.9,15.22
42.6,22.8,54.8,13.84
61.8,24.1,62.0,12.88
18.6,25.7,57.6,15.52
31.6,23.9,70.2,10.32
62.4,26.0,65.2,10.37
49.3,24.4,58.4,8.34
23.0,19.9,60.5,15.47
18.3,27.3,56.9,17.92
37.8,25.0,55.1,12.96
27.1,24.8,59.8,12.18
53.4,25.9,71.3,6.61
66.7,26.1,72.0,9.03
38.1,19.0,65.6,13.03
56.0,28.5,62.3,8.45
38.2,23.4,55.5,18.47
29.0,25.7,56.6,13.83
69.2,21.8,57.3,12.46
44.4,23.6,68.1,11.97
31.6,26.2,57.6,11.04
51.0,23.1,61.2,11.1
46.9,23.5,54.4,14.17
37.8,25.2,71.7,7.93
70.5,26.3,70.6,7.24
29.8,25.2,67.7,7.62
68.8,22.5,62.3,13.28
57.1,28.3,63.4,5.56
35.4,23.2,51.5,21.74
38.6,27.1,57.3,16.51
17.4,24.4,59.1,15.23
46.9,21.8,58.4,10.9
83.2,25.6,70.6,5.24
49.8,22.1,61.2,10.15
28.1,21.5,68.4,8.05
23.6,22.1,55.1,17.18
53.3,25.9,62.7,9.58
48.4,24.6,59.4,14.71
51.8,24.1,66.6,9.32
85.0,23.4,63.0,7.13
61.0,20.7,60.9,9.82
45.7,24.2,55.5,13.54
66.9,23.5,66.3,3.38
44.8,22.2,64.8,13.11
32.7,22.2,60.9,9.31
33.6,27.5,77.1,8.69
50.1,22.8,58.4,17.47
61.5,26.2,73.8,5.99
65.4,25.0,62.0,10.77
46.9,22.6,51.9,13.83
54.8,24.0,55.8,10.75
62.9,25.5,73.1,11.28
26.1,25.4,59.8,10.47
38.1,22.9,63.0,15.16
66.4,24.0,69.5,6.34
45.4,23.8,58.0,13.33
34.5,23.7,71.0,8.15
48.8,29.1,66.3,8.41
26.1,21.2,61.6,11.6
57.9,24.3,58.7,11.45
54.4,23.5,59.4,10.0
53.6,23.1,66.3,8.91
52.9,23.3,68.1,12.11
41.7,24.6,60.5,12.09
32.2,22.0,64.5,15.24
36.0,21.1,64.8,12.5
60.3,23.6,62.7,11.96
37.6,26.9,69.2,11.99
58.2,24.9,69.5,6.33
59.1,24.5,52.6,14.24
49.0,25.4,64.1,10.92
55.9,21.5,51.9,12.05
30.7,22.3,64.8,12.33
40.7,22.4,63.4,11.74
62.3,28.3,70.6,8.41
21.0,22.5,51.9,14.7
63.5,26.2,72.8,8.74
57.5,25.3,69.9,8.81
51.3,19.0,64.8,10.43
56.7,19.7,56.6,9.4
25.0,20.2,51.9,16.99
61.9,27.0,58.7,11.49
31.8,25.7,61.2,14.07
34.4,25.4,66.3,8.85
50.5,22.2,67.7,9.66
40.4,23.6,53.0,16.94
68.8,23.6,64.1,12.27
76.4,26.1,59.8,8.85
41.4,21.4,52.2,15.19
27.3,24.8,62.7,12.66
28.4,22.6,63.0,10.78
16.8,23.3,58.4,12.66
54.8,28.9,73.8,7.66
43.8,23.8,62.3,16.86
27.3,22.6,57.3,16.02
52.9,25.2,55.5,13.7
47.8,22.8,52.2,12.58
57.8,23.2,56.9,14.96
33.4,25.4,59.1,10.77
33.6,25.0,59.4,14.44
26.1,21.9,49.4,14.4
21.4,24.4,53.7,13.96
47.6,27.1,60.9,12.53
49.8,24.2,69.2,9.31
50.6,23.7,63.4,6.84
40.2,25.8,63.4,10.35
32.6,24.1,71.3,9.67
57.5,22.6,57.6,10.69
36.9,22.8,65.6,9.84
58.3,24.8,57.6,13.81
62.0,23.5,68.1,6.13
31.9,26.4,62.7,15.24
57.5,22.0,56.6,12.61
45.1,22.6,59.8,10.25
73.4,25.6,57.3,12.07
66.6,26.1,71.0,7.95
54.6,26.1,58.0,8.45
42.2,16.4,56.6,9.92
34.9,25.1,72.0,9.39
77.1,26.0,62.7,8.08
51.7,22.6,70.6,9.07
62.3,24.8,65.2,11.52
36.0,24.0,55.8,19.57
38.2,23.1,49.7,11.74
51.6,23.8,53.7,13.23
68.2,25.7,65.9,6.33
28.3,26.1,60.2,7.67
18.8,27.1,67.4,11.39
50.2,22.2,64.1,10.63
67.0,22.0,59.8,9.88
44.4,23.8,68.4,11.54
55.3,22.7,71.0,10.41
31.5,21.7,59.8,16.76
40.8,24.4,64.5,8.8
21.8,25.4,67.4,11.3
32.7,22.7,66.3,6.86
59.3,22.4,57.3,11.58
30.2,21.0,65.2,7.23
26.4,25.6,55.5,18.24
74.3,23.0,67.7,9.52
44.9,25.7,50.4,10.23
48.5,26.1,59.8,8.72
33.0,25.1,73.1,6.54
55.1,23.9,55.1,11.45
59.6,22.6,59.8,9.25
27.0,26.6,59.8,16.28
51.3,25.7,60.9,11.49
41.2,25.6,58.7,14.9
29.8,23.7,55.5,15.98
37.2,24.0,54.8,16.45
30.0,23.8,57.6,12.31
67.7,28.9,71.0,5.31
30.6,24.9,61.6,8.89
45.0,24.8,65.6,10.56
55.5,25.8,58.7,12.91
51.5,23.9,63.0,8.51
43.7,22.4,63.8,8.01
50.5,23.6,67.4,10.41
76.6,20.5,57.6,7.51
37.6,24.9,63.4,11.18
59.8,26.4,63.0,9.25
49.5,24.1,63.8,12.75
53.2,22.4,58.7,10.7
46.5,24.4,57.3,13.92
32.9,27.9,63.8,10.67
34.2,25.3,63.4,14.87
28.3,23.3,60.5,11.56
30.3,21.7,49.4,13.92
46.6,21.3,65.6,14.05
42.6,24.2,66.6,8.28
19.7,22.0,51.9,10.18
45.4,23.2,57.6,13.54
57.1,27.8,58.7,14.59
45.3,24.8,58.4,10.58
60.6,22.3,54.4,12.12
44.8,24.9,61.2,13.55
46.5,23.1,54.4,12.43
41.0,21.7,60.5,13.96
17.2,26.3,58.0,19.19
65.7,22.9,58.7,10.13
28.2,25.2,67.4,10.29
26.9,23.1,68.4,12.45
50.9,20.7,63.8,10.29
53.1,21.6,58.0,9.1
49.2,24.1,59.8,9.83
55.4,27.6,63.4,14.09
59.2,23.5,51.9,12.73
40.3,23.6,64.1,7.98
55.0,23.1,49.7,14.82
69.5,24.8,64.1,10.07
74.9,23.0,63.8,7.36
60.6,24.6,66.6,10.21
36.1,23.5,68.4,8.57
36.6,25.5,68.8,9.4
35.6,25.1,51.9,12.05
50.9,25.7,53.3,13.02
55.6,21.2,52.6,11.62
34.8,27.2,55.1,15.73
48.0,25.0,80.3,11.45
75.2,26.6,69.9,6.97
65.2,28.2,73.1,6.9
48.5,24.1,60.9,16.18
38.4,26.7,71.7,11.15
43.8,21.2,61.6,9.36
28.0,21.8,60.9,11.78
23.7,24.9,61.2,12.64
54.9,22.5,56.9,13.08
43.7,23.6,58.4,15.94
44.3,27.1,71.3,7.77
54.1,23.4,70.6,10.05
45.9,25.6,56.6,13.25
42.0,26.7,57.3,10.71
57.6,26.7,67.7,7.9
59.5,23.2,70.6,8.74
20.8,24.0,64.5,17.35
69.5,20.5,57.6,13.41
49.9,20.6,51.5,12.46
69.7,21.3,57.3,13.69
60.1,23.6,59.4,14.25
61.5,23.5,67.7,6.59
34.7,24.8,77.8,9.92
39.2,21.4,68.1,11.91
43.5,25.9,58.7,11.85
33.0,26.4,63.4,12.76
71.4,23.9,65.2,9.04
59.9,21.4,64.8,10.16
43.7,21.5,62.0,10.07
34.0,24.5,74.2,12.2
32.3,26.2,59.8,12.64
33.0,23.9,59.4,9.8
48.0,25.1,69.9,8.05
69.2,23.9,64.1,9.94
32.4,24.7,67.4,9.8
33.3,25.9,74.6,10.08
40.1,29.2,72.8,6.41
65.9,20.9,58.4,10.11
49.3,24.7,73.8,7.61
67.7,25.7,71.3,11.14
31.3,26.2,71.3,7.82
67.0,24.3,56.2,10.28
50.0,24.0,70.2,12.41
66.5,22.7,62.3,10.18
43.2,25.7,64.1,11.68
48.9,21.6,65.9,11.07
25.0,25.4,51.5,18.17
27.2,24.8,60.9,12.59
40.1,26.5,61.2,10.65
40.8,24.0,71.7,10.26
58.9,22.9,62.7,12.17
26.4,24.9,60.9,12.29
57.9,22.7,50.4,16.0
56.6,26.6,67.4,6.73
38.6,22.9,67.4,11.39
65.0,20.2,65.9,8.36
55.6,27.6,68.4,9.18
61.6,25.1,64.8,17.55
58.7,21.6,67.4,8.6
30.8,27.1,55.5,17.71
59.0,24.7,54.0,12.82
44.8,26.7,65.2,11.69
38.6,26.5,71.7,6.43
52.1,26.7,64.8,7.36
57.2,28.0,62.7,13.38
32.0,27.4,58.4,15.99
44.4,26.6,56.2,8.15
72.3,24.8,60.2,13.9
50.3,24.7,64.1,9.84
42.0,23.5,56.6,9.13
55.6,25.2,60.5,12.15
45.4,24.7,59.1,19.43
18.6,24.3,53.7,17.13
27.4,23.4,55.5,16.26
50.3,26.9,55.8,16.47
44.8,22.5,59.4,10.78
30.1,26.8,74.9,13.49
61.9,24.7,63.8,10.31
40.6,21.7,59.8,13.4
28.2,25.7,50.8,14.01
55.7,22.6,53.0,14.02
27.5,23.1,55.5,17.89
53.4,22.2,53.0,14.51
73.3,24.6,59.8,10.67
60.5,23.2,55.5,15.76
33.7,24.4,64.8,11.66
42.7,23.2,54.0,17.7
41.7,25.3,60.5,11.1
59.9,22.0,64.8,10.3
41.6,22.3,60.5,11.0
50.7,24.3,71.7,11.1
41.5,23.9,58.4,12.72
72.0,26.3,65.2,5.87
67.8,22.7,57.6,15.24
43.1,23.9,67.7,7.93
41.6,23.0,63.4,11.6
44.4,22.5,62.0,10.97
64.9,23.9,57.6,10.19
69.8,23.2,59.4,9.72
30.9,23.7,59.1,14.23
21.1,23.5,56.9,19.55
37.1,24.3,59.4,13.23
52.1,22.3,65.9,12.02
38.9,24.0,58.0,13.04
30.1,25.1,59.4,11.63
32.7,22.8,54.4,16.11
64.7,22.0,61.6,9.98
66.2,22.7,70.2,11.57
66.2,21.2,62.3,10.19
61.3,24.2,64.8,8.37
46.1,25.0,49.7,5.59
61.7,26.3,63.0,9.54
47.4,25.6,63.4,4.82
52.8,22.6,54.0,12.59
26.5,23.6,54.0,20.58
57.8,25.3,69.2,9.57
58.5,24.7,74.9,6.49
77.9,26.0,54.8,11.53
60.5,25.3,73.8,5.67
58.6,22.8,52.2,17.35
42.7,22.5,61.2,11.46
51.2,21.8,56.2,13.1
49.4,24.8,62.7,13.25
57.7,24.6,56.2,12.54
44.8,26.1,65.6,9.82
68.9,26.8,67.0,7.13
65.5,24.7,70.6,8.11
42.2,25.0,73.5,7.23
35.5,23.1,54.0,12.22
54.7,21.4,44.7,10.53
71.8,26.1,70.6,7.63
37.7,25.2,54.8,10.8
50.1,23.1,55.8,16.06
45.0,23.4,59.4,14.19
49.0,24.9,59.8,11.02
70.3,24.9,57.3,13.22
40.0,22.9,61.2,12.39
34.7,24.6,61.2,15.87
32.1,21.7,68.4,7.34
72.0,22.4,60.9,9.13
60.8,20.4,60.9,12.96
59.3,22.6,54.8,15.71
38.3,21.5,55.5,12.54
50.4,23.5,71.0,11.37
55.0,27.6,63.4,9.46
30.9,24.4,50.8,15.51
70.9,24.9,58.7,11.98
58.6,23.7,54.8,13.89
56.9,22.5,59.4,14.28
57.0,20.3,53.7,14.4
29.9,25.8,78.9,5.4
61.4,21.6,69.2,7.89
31.4,22.4,56.2,13.58
62.5,25.2,72.8,7.6
46.5,24.7,51.9,12.74
29.1,22.2,65.6,14.68
54.0,19.6,61.6,10.92
64.1,25.3,71.7,11.57
56.7,21.5,59.8,15.85
31.8,25.5,60.5,11.11
49.0,23.5,62.7,10.99
35.9,25.6,69.5,12.9
38.5,24.5,54.4,20.38
41.8,22.4,72.4,8.16
63.3,24.2,58.7,11.18
31.0,20.7,57.6,16.17
63.9,23.1,73.5,7.91
31.7,23.0,65.9,11.18
49.2,21.6,46.8,11.83
47.0,24.4,59.1,15.9
34.0,25.4,64.8,13.31
39.6,22.0,65.2,13.38
72.3,23.9,53.3,13.21
41.6,23.0,61.6,10.19
39.3,24.7,56.2,17.84
42.7,25.8,55.1,15.04
46.2,25.0,69.2,6.99
28.3,27.5,76.4,11.33
47.3,24.5,64.8,13.72
56.5,25.4,56.6,15.42
32.4,21.6,62.0,12.49
52.0,27.2,66.6,12.09
41.0,22.6,68.8,9.61
32.4,27.8,61.6,14.82
56.3,18.1,46.1,11.28
56.6,24.9,63.4,12.31
47.3,24.6,68.1,10.19
69.9,27.5,65.9,7.27
51.1,23.1,59.4,15.9
33.0,26.4,63.4,12.76
42.2,25.2,65.2,11.52
43.9,26.0,59.1,13.21
41.2,21.3,59.8,10.05
23.7,25.6,78.9,13.47
66.3,23.8,53.3,9.2
44.4,23.6,46.8,12.68
39.7,26.7,62.3,8.5
34.4,21.9,65.9,12.82
73.2,25.2,60.5,12.32
76.9,23.1,63.0,6.53
37.4,23.6,60.2,14.92
39.2,20.2,59.1,11.39
31.7,26.8,71.3,11.23
38.9,24.7,55.8,14.29
41.2,23.0,64.5,10.43
53.8,25.3,54.4,11.91
63.2,27.4,59.4,11.95
60.5,24.0,56.2,12.37
83.4,20.5,67.0,8.3
52.4,28.8,70.6,7.74
33.6,26.1,53.3,17.38
63.1,27.2,61.6,11.61
44.3,25.0,56.2,14.21
71.9,20.9,55.8,12.24
41.5,23.4,66.6,9.39
41.1,25.4,56.2,12.32
19.4,24.5,52.6,15.1
39.8,24.1,71.3,9.47
44.0,25.3,57.3,11.66
23.4,25.7,60.5,11.89
59.1,22.7,57.3,11.59
41.6,21.8,68.8,7.09
35.9,21.5,69.9,6.16
41.8,25.0,66.6,6.79
46.6,20.6,59.8,14.22
38.3,25.9,56.9,17.57
62.3,25.2,65.2,9.59
67.5,23.9,70.6,6.68
65.2,23.6,69.9,8.84
47.9,27.8,63.8,6.51
56.7,25.6,47.2,13.81
61.7,20.7,60.9,9.4
49.9,25.3,64.1,9.52
50.7,24.3,59.1,11.49
30.7,24.5,56.6,12.93
60.9,23.4,60.5,10.85
46.0,21.1,53.7,11.78
34.4,25.0,74.9,12.75
41.3,23.3,51.5,16.45
77.1,26.4,67.4,4.21
31.3,20.7,52.6,13.74
52.2,20.6,56.6,13.09
52.7,27.2,54.0,13.0
32.5,21.4,66.3,11.06
38.3,20.0,54.4,13.95
22.5,20.2,56.2,16.17
21.4,23.2,62.7,12.09
48.4,28.6,77.8,9.6
55.0,21.9,48.3,12.69
49.5,25.3,73.1,7.75
65.2,27.0,76.4,7.45
41.4,26.1,64.8,13.97
73.0,17.8,61.6,8.44
65.6,23.4,63.4,11.35
29.5,20.3,65.2,11.36
43.9,23.7,51.9,14.51
37.2,25.2,69.9,11.47
54.4,20.6,46.5,12.57
64.4,20.7,50.4,14.38
56.3,24.6,74.9,12.32
39.1,26.0,59.8,13.8
43.3,22.9,69.2,9.08
55.8,27.2,70.6,4.83
37.3,23.4,52.6,13.4
33.2,23.5,59.1,14.29
43.3,25.1,66.6,10.2
71.5,22.6,64.5,7.45
61.1,24.1,65.6,10.43
27.7,27.0,68.1,8.78
50.3,21.4,48.6,10.55
48.6,27.3,52.2,14.11
73.2,25.4,76.4,7.3
58.8,19.4,58.0,11.38
42.9,26.5,59.8,13.7
61.8,25.0,58.7,8.61
37.8,23.9,59.1,10.01
43.6,24.0,60.2,9.58
45.0,24.9,62.3,14.04
29.1,24.7,68.4,12.01
47.9,25.1,67.0,12.43
56.3,22.2,61.6,12.15
18.8,21.7,57.3,14.49
51.0,23.6,59.1,12.27
48.4,21.1,51.2,12.91
28.3,22.6,70.2,7.95
42.6,24.3,58.0,9.47
39.2,21.6,62.3,8.71
56.6,26.9,78.5,9.09
38.3,23.6,50.8,9.86
42.4,24.1,68.4,7.34
33.5,24.6,56.6,12.14
57.8,25.1,62.7,13.94
75.0,26.9,55.8,13.7
54.5,23.8,66.3,9.53
65.3,23.9,65.2,11.8
57.1,24.1,68.4,10.82
69.2,21.2,61.6,15.3
69.3,24.0,52.2,12.33
24.0,23.4,65.6,12.0
48.0,23.1,54.8,15.77
41.8,24.3,73.1,7.83
33.4,27.5,65.9,8.14
52.5,18.4,57.3,13.78
50.3,22.9,57.3,13.47
28.4,24.6,61.6,13.58
40.4,27.0,60.5,11.76
61.8,25.1,55.8,9.78
72.9,23.5,53.3,11.95
75.0,24.4,58.7,10.6
41.6,25.6,73.8,7.79
51.1,23.9,71.0,9.32
36.0,22.2,52.2,14.97
60.7,26.7,73.8,8.18
44.7,21.4,59.8,10.05
53.5,23.6,69.5,9.76
21.3,24.9,62.0,9.75
46.3,26.6,58.0,15.99
20.6,24.4,61.6,15.19
44.2,24.5,71.7,7.79
59.5,22.2,67.0,11.18
28.3,23.6,52.2,15.74
53.1,25.2,70.2,5.74
60.5,23.9,55.1,12.86
30.9,27.3,53.3,15.87
27.7,27.7,67.7,9.37
73.2,22.8,57.6,10.03
63.0,22.7,62.3,12.41
63.0,21.4,51.9,14.82
60.9,22.8,66.6,5.1
45.3,23.3,73.8,11.69
62.8,22.1,59.8,11.98
44.1,23.5,69.5,9.98
52.1,24.3,53.7,15.34
84.9,23.7,65.9,8.37
50.3,27.6,67.7,9.3
26.4,26.2,50.4,13.32
69.4,25.4,67.7,8.17
71.8,21.7,65.2,9.25
38.2,23.5,59.1,18.31
68.6,24.5,54.8,14.39
37.9,25.3,58.7,15.42
24.3,21.7,63.4,7.89
46.7,22.0,65.9,8.1
28.3,24.8,64.5,10.01
25.0,26.4,65.9,11.29
44.1,24.7,53.0,19.65
28.7,26.8,53.3,15.12
63.5,25.3,68.4,14.24
34.7,22.3,63.0,13.89
39.3,25.0,46.1,13.5
32.8,24.9,63.4,4.88
41.2,22.2,63.0,10.44
32.7,25.7,77.1,9.95
26.6,24.9,54.0,19.32
34.4,26.5,61.2,15.01
49.5,26.7,75.3,9.71
53.9,21.2,55.8,13.36
29.9,17.9,49.7,7.32
44.2,20.0,66.6,8.05
43.1,22.4,71.3,7.46
44.2,22.8,57.6,11.97
63.9,23.7,59.4,11.59
47.2,24.6,55.1,18.17
69.9,21.2,60.2,10.17
65.0,25.6,71.3,7.99
66.7,24.8,68.8,7.55
56.3,24.5,59.8,14.98
67.3,19.5,52.2,11.66
36.2,23.1,64.1,9.48
68.2,25.7,65.9,6.33
48.2,24.2,62.0,8.71
42.0,25.5,55.5,15.33
69.3,25.4,59.1,11.23
62.0,25.5,79.2,11.25
41.7,24.4,55.8,12.0
74.6,25.5,61.6,11.34
62.6,22.7,58.4,11.46
30.0,23.0,56.2,14.89
51.2,24.4,54.8,12.24
15.7,24.8,65.9,13.96
65.7,24.3,57.6,16.42
65.6,17.6,58.4,8.17
61.1,27.1,64.1,7.33
42.1,24.7,61.6,12.95
80.6,24.8,64.5,7.43
58.3,28.1,67.7,8.03
33.9,21.1,64.1,9.72
32.3,25.7,59.8,12.82
38.1,24.7,60.5,13.42
48.3,22.7,60.9,13.78
66.7,23.7,69.5,11.94
69.9,24.2,73.8,6.21
42.9,25.6,62.0,10.85
52.0,22.9,66.3,6.26
52.0,26.9,68.4,9.86
44.7,24.1,65.2,11.91
24.7,21.5,55.8,15.81
47.5,27.1,62.0,12.46
56.2,21.0,48.3,13.77
40.8,25.2,58.0,14.58
36.5,22.5,58.0,12.84
54.7,26.3,53.3,10.01
47.9,25.2,71.3,9.31
46.9,25.3,61.6,6.91
62.9,24.1,64.8,13.76
48.6,22.0,53.7,10.91
28.1,27.6,58.0,14.84
50.1,23.7,68.1,7.1
62.3,26.5,59.1,10.63
33.5,23.2,60.9,12.13
30.8,25.2,55.1,19.1
70.7,27.0,74.2,8.3
35.2,26.5,65.6,11.32
70.8,27.2,58.0,7.9
23.2,25.9,68.4,9.61
37.8,25.6,72.0,7.95
27.8,25.1,72.4,9.84
64.4,23.5,55.1,12.2
52.8,21.3,65.6,7.36
56.8,21.1,60.2,10.95
65.2,25.5,70.6,9.7
59.6,27.5,63.4,6.85
39.0,27.0,60.2,10.03
48.3,22.5,65.9,6.98
47.4,23.7,67.7,5.74
51.4,26.8,74.6,9.51
35.2,23.8,54.8,15.3
51.3,23.2,68.4,12.48
53.3,24.8,64.5,7.36
55.0,27.6,63.4,9.46
40.1,21.1,55.5,14.37
43.1,23.9,67.7,7.93
57.2,23.1,64.1,8.4
48.3,25.9,74.9,10.38
74.6,23.9,63.4,10.5
43.3,23.8,55.8,14.88
32.6,22.3,56.6,17.23
49.1,20.0,60.9,6.58
63.2,23.3,60.5,8.73
47.1,22.1,58.7,16.38
43.9,23.2,55.1,18.11
46.8,21.6,54.4,17.09
45.2,26.6,67.4,7.62
31.9,23.5,48.3,16.65
66.3,23.4,69.9,7.68
47.7,25.2,68.4,9.55
21.9,22.5,53.7,15.69
32.7,21.0,61.2,16.39
50.4,22.4,61.2,9.18
72.1,19.2,60.2,14.14
66.5,20.6,61.6,10.95
17.7,26.4,67.4,9.99
70.6,23.5,59.1,11.1
52.5,27.8,76.7,6.11
68.5,22.4,49.0,11.88
35.7,25.5,73.8,7.59
42.0,22.5,66.3,9.7
54.4,22.4,63.8,10.3
75.4,25.1,60.5,9.95
52.9,24.5,65.2,11.15
62.2,23.0,59.8,14.47
47.7,23.9,66.6,11.84
51.5,27.3,65.9,13.7
59.9,26.1,62.3,14.43
34.9,26.0,61.2,14.35
59.0,26.4,74.9,7.9
56.0,25.4,67.7,9.36
60.8,25.7,73.5,5.63
29.2,25.1,72.4,9.11
37.6,20.3,54.0,17.9
49.3,22.9,67.4,10.96
51.5,23.4,49.4,12.46
46.0,21.4,64.8,11.85
29.8,25.4,64.8,12.03
44.2,22.5,64.1,12.48
69.1,24.9,71.0,8.24
65.3,23.9,68.4,5.41
39.5,24.3,65.2,9.91
23.3,21.5,52.6,19.46
51.4,24.6,70.2,8.86
25.5,21.6,62.7,14.18
44.6,22.3,48.6,13.97
76.9,23.9,63.8,9.63
33.7,28.4,76.0,10.0
54.1,21.9,64.5,9.88
33.8,20.9,62.3,10.47
44.4,22.1,52.6,11.46
37.5,24.6,59.1,11.24
64.9,25.4,63.8,10.14
48.6,20.4,55.1,16.95
37.7,23.5,67.0,8.85
40.1,25.4,63.0,13.15
55.7,22.6,55.8,17.48
44.8,24.7,66.6,9.16
45.7,24.5,67.4,8.97
21.5,25.3,53.0,15.91
37.3,24.8,58.4,15.04
53.4,23.2,58.0,17.45
34.6,23.4,53.0,12.47
55.8,22.0,67.7,10.19
59.0,24.2,67.4,11.99
50.7,24.3,60.2,13.83
42.3,27.4,54.0,13.7
70.7,21.5,59.8,12.48
34.8,24.7,62.0,12.45
45.8,24.3,52.6,11.74
14.8,28.4,68.1,10.89
31.2,23.4,60.2,14.33
27.7,19.5,54.0,17.79
78.7,25.0,60.2,8.59
49.1,25.8,64.1,7.8
36.7,21.5,62.7,9.77
58.5,24.1,62.0,7.83
48.8,24.6,74.6,6.25
71.2,23.2,70.2,8.21
41.7,24.9,60.9,17.85
33.9,25.9,55.1,16.19
64.3,22.3,71.3,7.18
64.0,25.6,62.3,16.59
56.2,23.4,70.6,8.41
40.0,24.1,64.5,10.65
37.7,25.8,68.4,9.21
65.6,22.9,68.1,6.42
