shading_percent,temperature_c,soil_moisture,yield_kg
64.9,26.3,58.0,18.08
48.1,24.6,69.2,15.36
28.5,27.8,60.9,19.29
57.7,22.4,55.5,16.81
47.2,27.2,65.2,11.52
61.9,28.0,77.1,10.74
49.6,23.0,67.0,10.56
49.2,26.3,72.4,13.59
39.5,25.6,64.1,15.78
52.7,25.3,77.4,10.52
50.2,23.5,60.2,19.03
53.7,25.6,64.1,15.16
56.7,26.6,59.1,16.79
39.3,26.2,68.8,13.0
66.2,24.3,56.6,23.07
58.1,24.8,51.9,20.13
23.6,27.6,71.0,15.04
12.6,25.2,67.4,13.26
65.0,23.3,62.0,17.21
45.0,28.5,71.7,13.93
35.1,22.8,70.2,16.76
41.1,20.7,66.6,14.83
64.4,23.2,57.6,16.71
57.6,26.2,70.2,12.41
69.4,29.2,62.7,11.52
62.3,24.3,51.9,21.71
55.7,26.0,61.6,13.49
35.0,26.4,71.7,13.78
40.4,26.5,62.0,15.34
45.4,22.7,67.0,11.63
26.9,22.6,66.3,22.75
49.8,25.6,53.7,22.16
83.1,24.0,69.5,11.81
70.8,27.3,60.9,18.27
56.5,24.4,62.7,16.91
47.3,24.4,56.2,24.04
54.4,25.7,62.7,17.78
73.2,28.5,64.5,12.98
64.3,22.6,54.8,19.2
62.1,21.7,63.8,17.33
14.7,26.9,68.4,15.65
62.7,21.0,69.5,11.69
54.2,26.5,69.5,12.18
41.5,29.3,62.3,15.77
51.8,26.5,72.0,13.82
40.8,27.8,69.5,11.62
62.1,26.7,68.1,10.37
43.1,24.1,60.5,18.53
29.6,23.3,66.6,15.81
59.3,24.0,63.4,16.44
45.5,22.4,64.1,21.08
30.6,25.4,60.2,20.0
49.4,29.8,77.1,13.49
56.3,26.8,64.5,12.05
43.7,25.1,64.8,18.31
55.8,24.6,64.1,13.33
36.2,27.3,58.7,22.09
53.5,28.3,56.9,20.96
58.1,27.8,60.5,17.14
56.2,24.1,55.1,22.08
39.8,23.5,66.6,14.47
66.8,24.8,67.7,13.96
50.2,25.3,56.6,20.09
66.7,29.2,57.6,18.73
45.3,25.1,60.5,18.06
43.7,22.3,57.6,18.98
68.6,27.3,61.6,16.91
25.5,25.9,53.3,23.32
39.8,26.1,59.1,23.6
36.0,25.3,65.9,19.2
44.6,23.7,55.1,20.61
71.6,27.1,61.6,11.6
28.6,26.5,63.0,18.93
65.8,22.5,53.7,16.79
38.4,23.7,64.5,15.14
37.5,21.0,58.0,15.48
60.2,28.0,64.5,15.05
32.6,23.5,62.0,19.56
82.3,26.5,67.4,13.88
56.8,25.4,62.3,15.06
46.4,29.0,71.3,15.76
51.8,25.7,76.7,12.08
44.7,27.3,68.1,12.6
34.6,28.2,59.1,17.09
43.4,22.3,62.0,20.6
25.8,27.2,64.8,19.92
67.8,26.9,59.1,16.0
48.4,25.7,57.6,20.7
31.8,23.7,58.7,23.39
46.6,24.3,65.2,16.69
66.5,27.2,67.7,13.17
64.1,20.2,64.5,10.88
63.9,24.5,73.1,15.29
52.0,25.3,63.8,15.1
40.0,25.9,58.4,20.07
65.3,24.1,70.2,11.06
26.6,25.9,64.8,15.9
39.7,24.4,70.6,13.23
72.7,23.8,57.6,17.78
31.8,21.9,44.0,14.86
47.9,25.8,67.4,16.5
50.6,25.1,67.4,9.62
47.7,23.6,55.1,22.34
68.7,24.0,67.0,11.49
53.6,24.5,57.6,20.18
20.0,26.8,72.4,15.31
59.4,27.2,63.4,16.87
51.4,25.4,67.7,15.41
28.7,26.2,58.0,25.32
33.3,21.0,58.7,13.15
61.5,21.1,54.8,17.75
19.2,24.5,61.2,20.98
77.7,24.3,65.9,15.99
48.2,26.9,73.8,11.99
68.0,28.2,62.3,16.42
55.7,27.8,61.2,15.13
37.7,25.2,71.3,14.12
31.7,27.5,66.6,13.41
30.0,24.5,63.8,17.75
55.1,26.0,60.2,16.05
51.8,24.2,57.6,21.74
55.1,24.3,64.1,12.42
43.3,26.6,72.8,14.14
59.9,26.5,72.4,11.68
33.5,26.2,66.3,14.05
30.6,24.0,51.9,23.44
31.6,19.9,49.7,15.41
18.5,25.7,69.2,17.67
45.9,25.9,70.6,11.9
46.5,23.2,61.6,15.75
70.2,26.6,73.8,12.18
28.0,24.4,57.3,21.81
48.7,25.0,67.7,15.44
15.9,25.3,53.0,28.24
44.9,22.9,63.0,14.21
75.0,26.8,64.5,13.74
36.1,27.6,69.5,10.82
57.0,26.4,60.5,18.78
41.9,26.0,58.4,14.78
36.3,27.0,63.4,17.95
67.8,22.0,67.0,7.81
62.8,23.8,69.9,12.25
41.6,21.9,60.2,19.49
62.2,25.6,78.2,9.57
62.8,23.3,65.6,14.09
23.2,28.7,59.1,21.56
58.2,25.1,53.3,21.98
62.4,27.0,71.0,11.31
29.8,24.7,74.6,16.21
40.2,23.4,57.3,19.54
59.8,25.5,75.3,13.44
58.8,28.3,69.9,11.3
46.0,23.8,50.8,23.15
53.2,24.1,58.4,19.93
33.8,29.6,62.0,18.14
64.3,26.3,59.1,15.89
40.9,26.8,59.8,18.27
64.4,21.8,59.4,15.6
23.6,23.0,62.3,18.24
59.1,25.7,58.7,16.91
51.2,20.8,58.7,13.42
51.3,24.8,64.8,14.41
30.4,26.0,54.8,20.07
22.7,27.4,64.5,17.86
50.0,22.2,60.5,16.67
45.2,22.5,63.0,16.01
29.7,25.9,64.1,16.58
18.5,24.5,70.6,13.49
38.9,25.1,55.1,22.66
48.8,27.3,52.6,19.22
46.6,25.8,66.3,13.85
41.0,25.8,62.3,13.28
49.5,24.0,55.8,21.45
65.4,25.6,60.2,18.69
61.7,25.2,66.6,12.68
41.4,23.3,60.2,18.37
27.6,21.5,53.7,24.32
63.8,23.9,59.4,19.2
39.7,25.4,62.7,17.83
48.7,24.8,57.3,22.74
53.3,25.6,56.9,17.19
29.1,27.6,62.7,17.39
68.8,25.4,60.5,20.57
33.9,24.3,61.6,23.15
52.7,25.8,63.8,12.79
53.5,28.8,55.8,21.21
40.4,23.9,61.6,20.69
56.2,28.7,68.1,11.59
53.2,25.0,71.3,16.7
53.1,20.2,53.0,17.3
35.3,24.4,73.5,15.8
59.8,22.8,52.6,18.5
67.5,29.4,63.4,16.62
49.1,22.7,60.9,15.38
50.2,25.0,69.2,13.59
46.7,26.8,77.4,13.74
56.7,23.0,63.8,17.96
53.0,21.8,59.1,18.48
54.6,18.9,51.5,15.15
59.1,24.3,63.0,17.9
71.9,26.1,78.2,10.01
56.7,22.6,62.3,13.49
39.5,24.6,58.0,20.68
58.1,27.8,70.6,12.56
69.6,24.4,54.8,18.36
65.0,24.2,65.6,15.74
54.2,24.5,63.4,18.13
33.7,24.8,57.6,21.85
32.6,23.6,58.0,21.53
55.1,24.9,61.6,15.94
70.8,23.5,59.8,16.76
57.4,21.8,66.6,11.7
38.9,25.6,67.7,16.3
32.9,27.5,60.9,18.48
40.2,25.9,63.0,14.64
24.2,23.4,60.9,20.06
39.7,27.0,56.6,21.5
56.2,21.7,65.6,14.03
17.4,27.8,53.3,25.44
40.2,27.9,69.2,11.87
69.8,27.5,57.3,15.28
46.5,23.1,66.6,13.45
51.1,24.9,73.8,15.47
32.5,26.6,64.5,15.87
59.4,25.6,59.4,16.38
67.2,26.4,66.6,9.32
47.5,20.2,62.7,12.89
52.2,24.4,63.4,15.27
66.2,25.4,61.6,16.62
58.3,28.3,56.6,19.56
47.2,23.7,75.3,14.41
34.6,24.2,53.3,19.85
62.9,24.3,58.4,16.19
27.0,30.1,72.0,13.91
50.5,25.0,65.2,9.95
75.5,26.9,72.8,8.34
23.7,26.4,70.2,14.0
54.7,24.5,73.5,12.48
44.8,25.9,60.5,18.1
22.8,27.1,62.0,16.97
39.3,27.0,55.5,22.38
42.3,23.5,51.2,20.43
53.3,27.4,60.5,9.64
48.6,24.5,63.4,17.0
47.4,22.8,63.4,19.42
70.2,22.9,54.0,21.37
57.6,25.0,65.2,15.51
24.4,26.7,65.2,19.84
58.1,27.6,64.1,15.52
47.3,23.8,67.7,14.59
66.2,24.8,60.5,16.64
34.4,27.3,74.2,14.86
47.9,27.8,61.2,14.88
49.7,25.6,67.4,13.03
28.1,24.3,53.0,25.67
50.1,24.9,54.8,23.28
71.6,23.0,56.2,16.93
35.4,24.6,67.7,14.33
48.6,23.6,60.5,18.62
25.5,21.4,63.0,14.72
54.4,26.0,56.2,18.54
38.0,25.2,66.3,12.4
65.5,23.8,64.8,16.43
55.4,23.5,65.9,14.09
47.0,23.8,58.0,20.43
53.6,25.8,52.2,21.18
58.6,28.2,57.3,21.2
73.5,23.4,63.4,11.11
70.7,23.1,62.7,12.67
39.9,25.8,67.7,15.94
57.0,27.5,56.9,13.91
68.4,24.1,62.7,18.21
54.0,24.1,68.4,13.37
69.9,25.9,58.7,15.57
56.9,25.7,58.0,21.97
33.2,23.1,56.6,25.22
35.9,23.0,57.6,21.44
69.8,25.7,62.3,14.81
29.5,24.9,63.8,17.15
36.3,24.3,72.8,14.47
34.7,24.0,65.9,16.09
45.4,22.0,63.0,19.53
55.1,25.1,63.0,16.19
37.6,26.8,53.0,22.49
69.9,22.0,59.1,16.1
63.7,24.8,61.6,19.13
36.9,27.3,71.0,14.3
51.7,24.5,72.4,15.48
41.1,27.2,71.3,12.46
27.0,28.1,65.2,10.83
23.3,26.7,67.0,17.38
72.2,25.6,56.6,18.79
30.2,23.5,58.0,18.03
56.3,25.3,56.9,20.41
49.5,23.8,73.1,12.75
21.7,22.9,56.9,26.79
23.9,26.5,73.5,16.29
23.8,28.4,67.0,13.23
26.1,22.8,64.8,14.19
32.9,27.8,72.0,15.58
25.9,22.7,55.5,26.3
58.7,26.4,58.4,15.06
49.9,23.3,54.4,22.07
25.1,27.0,60.2,19.99
35.6,25.1,65.9,17.53
59.1,25.4,63.0,16.55
50.5,26.0,67.4,14.63
63.5,26.0,75.6,10.04
57.6,24.7,60.5,15.86
26.7,26.6,66.6,17.46
56.9,23.9,61.2,17.06
69.1,26.9,62.7,12.88
43.2,26.5,57.3,19.57
54.9,25.8,66.6,16.11
49.5,25.1,77.4,11.89
50.0,24.1,71.3,12.53
54.5,28.7,76.7,15.66
65.4,24.4,56.9,20.82
51.6,24.1,53.3,22.15
55.6,22.1,67.7,14.02
61.5,26.4,68.1,12.56
37.2,25.7,64.5,19.88
63.3,26.2,65.2,14.71
36.7,25.7,58.7,18.38
48.1,28.6,66.3,15.46
66.2,26.1,59.4,14.97
35.9,29.8,56.9,20.43
42.6,27.1,74.6,13.93
33.3,23.0,67.4,10.75
71.0,27.1,73.5,9.96
54.8,23.6,68.1,12.65
45.0,22.8,56.6,18.77
54.9,26.9,67.0,16.85
46.6,25.0,65.2,17.37
56.6,27.1,75.3,13.09
60.3,26.4,71.7,11.77
62.9,27.9,66.6,8.49
58.1,27.8,70.6,12.56
22.2,22.1,53.7,26.81
32.7,23.3,62.0,18.15
41.2,20.4,63.8,15.88
38.0,24.8,64.5,18.51
42.4,27.0,71.3,9.02
74.3,28.2,74.6,14.54
42.9,26.8,58.0,18.75
37.9,25.1,66.6,14.41
16.2,23.9,60.9,18.38
31.7,26.1,68.8,16.17
71.0,27.3,65.2,13.93
29.2,23.2,68.1,10.9
67.4,26.9,66.6,12.92
58.2,25.7,61.2,13.73
42.9,24.8,71.7,14.57
53.7,24.7,64.8,14.92
37.5,28.9,54.8,21.69
30.6,27.1,71.3,14.4
44.8,23.6,56.9,19.73
32.7,25.3,73.8,14.94
35.1,24.0,63.0,14.94
15.7,25.0,62.0,21.54
42.0,24.8,58.4,22.55
36.2,25.1,58.4,18.76
45.8,27.6,68.8,12.64
25.0,25.3,66.3,19.95
48.1,25.4,65.6,15.87
61.9,24.8,66.3,13.64
61.2,22.9,54.0,21.64
42.1,25.5,64.1,17.97
55.7,21.1,57.3,20.42
56.7,26.9,74.2,13.42
63.9,24.9,70.2,9.28
30.3,21.2,53.0,20.27
32.2,26.1,67.0,13.5
36.7,23.5,62.3,17.82
54.9,25.5,62.3,16.19
24.7,24.0,65.2,14.35
44.5,25.8,68.8,13.88
43.1,24.1,66.6,15.74
31.3,23.1,61.6,21.01
56.8,25.1,59.8,18.82
36.7,27.7,76.0,15.05
47.3,21.9,56.6,16.19
62.7,23.3,69.2,15.91
52.4,24.4,70.6,15.13
24.9,21.8,61.2,15.47
40.1,25.2,60.9,18.65
29.8,24.6,60.9,17.23
40.0,25.2,63.8,16.69
44.4,26.4,64.8,12.51
48.7,28.0,69.5,9.69
59.5,22.8,63.4,16.89
48.8,26.2,77.4,11.93
66.6,28.9,68.8,9.73
54.5,23.2,71.7,13.4
45.3,26.1,76.4,15.93
35.0,27.9,66.3,14.72
64.4,24.6,72.8,11.94
62.1,23.7,54.8,23.02
28.9,24.2,65.6,14.71
41.7,25.7,55.8,21.44
32.0,26.2,51.5,21.0
77.2,29.2,57.6,15.68
29.8,26.9,64.8,14.72
46.8,26.1,58.4,23.01
34.3,23.8,59.1,18.76
47.5,25.7,56.2,21.04
35.3,25.3,74.2,15.51
40.5,24.8,61.2,14.81
52.7,25.8,62.0,19.41
36.0,28.3,64.1,14.46
72.9,25.9,72.4,11.0
22.8,24.4,66.6,12.46
17.3,26.2,58.0,23.86
69.5,25.7,76.7,9.36
61.3,22.0,58.7,16.65
53.0,24.0,57.6,23.76
37.7,27.0,66.6,16.94
57.1,25.2,61.6,18.07
36.8,24.7,67.0,14.39
69.9,19.9,51.5,17.34
73.8,24.0,64.5,12.55
47.5,23.7,65.9,13.87
51.5,25.0,65.9,14.95
34.5,25.7,51.5,22.52
32.6,24.6,65.9,20.56
54.8,23.3,53.7,22.55
36.9,22.9,62.7,18.21
57.7,23.1,58.7,18.28
67.5,25.9,63.8,13.44
49.4,24.1,69.2,14.75
65.5,26.4,72.8,10.03
26.6,25.7,72.4,12.59
60.5,23.4,63.8,15.52
21.5,22.9,60.2,18.27
52.4,25.5,71.7,16.48
23.4,23.5,65.2,19.38
51.0,26.8,59.8,17.9
75.7,21.0,59.4,14.81
28.2,24.8,57.3,15.76
29.0,23.5,56.9,20.93
43.1,27.3,63.8,16.38
48.2,19.6,52.2,19.91
32.3,22.6,72.0,14.19
31.3,25.4,65.6,17.3
54.4,21.3,51.9,21.87
36.3,22.0,59.8,18.94
21.7,26.1,59.1,23.77
77.2,20.3,50.4,14.07
60.2,27.0,67.7,13.66
40.8,26.4,73.5,12.75
24.9,22.9,67.4,16.89
41.3,25.1,69.9,10.8
35.6,26.0,65.9,13.38
35.7,25.0,51.5,20.09
62.9,25.6,56.6,22.71
49.6,23.9,51.9,16.55
69.0,22.7,54.0,19.44
41.8,23.2,66.6,16.5
60.7,24.3,57.6,19.21
36.0,28.0,60.5,22.3
38.0,22.9,62.0,14.1
49.6,22.8,53.7,22.98
32.0,21.3,64.5,15.61
32.4,22.1,58.7,19.79
68.3,24.7,61.6,14.42
23.9,24.1,52.2,26.55
45.0,24.0,58.4,21.21
65.1,28.2,73.8,13.57
59.2,27.7,71.0,10.08
31.4,25.5,59.4,20.73
56.5,22.9,66.3,16.5
36.2,25.9,50.8,20.92
40.2,24.5,71.3,11.38
53.8,27.2,69.2,13.46
48.2,24.8,72.8,12.23
58.8,25.9,71.3,15.1
34.2,24.9,54.8,24.05
44.2,27.0,65.9,11.56
43.3,27.6,58.0,22.3
32.0,24.0,67.0,18.37
40.1,25.6,64.8,15.97
35.2,22.0,52.6,21.04
63.0,29.1,56.6,18.43
59.6,22.8,64.1,11.32
58.6,25.7,72.8,12.18
56.6,25.7,69.5,12.91
59.5,24.4,62.7,16.06
57.8,25.6,67.4,11.28
35.0,21.0,64.8,17.25
62.9,25.3,64.5,12.37
69.6,25.5,72.8,11.95
46.3,24.9,64.1,13.48
47.5,25.4,63.0,17.75
68.2,21.8,63.0,11.56
37.8,27.7,64.8,13.9
33.7,26.1,58.0,24.09
34.7,22.2,63.0,15.65
32.1,25.0,68.1,12.8
57.9,22.0,68.4,12.25
49.3,27.4,57.3,18.48
38.8,23.0,71.7,15.44
41.7,24.3,63.4,18.41
62.8,25.5,58.7,16.15
54.9,22.9,68.8,10.73
56.3,22.7,72.4,12.43
45.9,26.2,76.4,11.71
44.8,21.2,54.0,13.95
28.7,23.5,62.0,21.46
40.3,23.9,62.7,17.4
61.7,20.4,58.0,17.62
55.1,25.7,60.2,16.2
41.6,28.2,56.2,20.34
29.4,25.2,56.6,24.15
25.6,25.4,54.0,25.35
43.0,22.7,54.4,18.58
24.6,25.3,51.9,25.46
22.6,24.9,70.6,18.5
70.0,25.6,71.7,7.84
34.6,28.7,74.2,17.19
33.8,26.6,74.2,13.45
55.6,26.8,72.4,11.11
70.1,20.3,65.6,11.87
66.4,26.5,64.8,13.35
75.8,24.4,64.8,10.82
55.7,23.9,64.8,17.64
62.0,26.9,74.2,15.04
62.9,25.9,67.4,11.46
44.4,24.5,66.3,16.17
35.8,23.9,64.5,16.57
23.5,26.0,54.8,22.89
53.7,27.2,74.2,13.25
23.5,22.5,58.4,24.02
49.8,25.3,57.6,19.21
41.9,26.8,71.0,10.26
69.6,28.4,70.2,14.89
57.4,23.0,60.9,19.59
57.7,26.0,65.9,13.3
66.9,26.1,72.4,10.99
56.0,25.7,68.1,12.26
39.4,24.1,56.2,19.05
49.2,24.3,57.6,22.35
37.8,23.6,62.0,17.69
27.5,24.4,63.8,20.56
63.1,26.1,73.5,11.71
53.9,25.9,72.4,12.47
39.6,24.3,58.7,20.45
30.7,23.4,61.6,21.22
30.5,21.7,53.0,21.63
40.7,23.7,58.7,18.59
61.3,21.8,66.3,13.55
63.6,24.1,63.8,18.29
32.6,25.9,58.4,16.11
44.1,21.7,53.7,19.31
31.5,24.7,76.0,16.73
32.9,23.9,53.3,21.88
30.0,25.0,63.4,17.12
65.5,24.7,60.9,16.55
38.6,26.5,72.0,14.75
56.0,25.4,60.2,20.8
28.0,23.6,63.4,19.07
52.8,23.0,70.2,11.15
45.3,26.1,76.4,15.93
78.5,22.1,65.2,14.37
65.5,26.4,55.1,17.68
11.3,25.1,68.1,16.9
26.7,22.1,57.3,21.58
50.8,28.3,64.1,15.25
56.8,22.3,69.2,9.03
12.0,26.5,56.2,22.37
61.0,24.7,53.0,19.39
54.7,22.4,48.3,14.11
50.2,23.5,60.2,19.03
31.7,24.3,51.5,23.43
12.7,27.3,56.6,23.76
35.1,24.0,71.3,12.73
59.3,27.9,67.0,8.63
40.3,25.4,68.4,11.79
39.3,27.4,72.4,12.93
64.5,25.3,69.5,13.71
28.1,26.6,64.8,18.17
41.5,23.1,57.3,20.45
44.9,21.4,56.9,20.25
62.5,27.7,56.6,19.84
58.7,24.5,64.8,14.6
58.5,24.2,56.9,21.4
51.4,21.1,51.5,18.21
40.6,23.0,62.3,16.26
36.3,26.1,59.8,18.62
51.0,26.2,72.0,13.47
35.3,24.9,70.6,16.45
37.6,24.5,62.3,20.72
43.4,25.9,72.8,11.12
41.9,28.2,60.2,16.85
46.9,24.8,61.6,18.73
44.2,23.4,63.8,14.97
74.2,22.4,52.2,16.96
69.5,21.3,46.5,12.71
54.5,25.3,72.4,13.72
58.5,26.4,76.0,11.21
62.9,24.2,57.3,19.29
43.3,24.0,63.0,17.71
52.7,24.9,71.7,12.01
61.2,22.6,64.1,14.56
38.0,30.3,59.8,17.4
38.1,25.6,60.9,19.82
69.4,27.6,72.0,11.74
26.7,22.5,67.0,12.48
44.8,22.4,65.6,15.63
62.6,24.7,69.2,9.81
44.2,24.8,65.6,14.61
58.0,25.6,59.1,19.26
45.8,22.2,65.2,17.09
64.1,24.2,63.8,14.55
60.2,23.3,63.8,15.93
14.7,26.9,68.4,15.65
44.3,27.6,64.1,14.98
70.2,28.6,69.5,10.84
50.7,23.8,67.0,10.66
61.1,23.5,64.8,13.74
40.4,23.7,64.5,20.67
57.0,25.9,62.0,16.34
33.8,26.7,64.8,14.28
33.6,23.7,58.0,19.91
74.0,26.2,63.0,12.92
29.0,23.4,54.4,21.25
40.1,23.5,70.2,18.19
44.7,25.2,66.6,11.12
48.0,23.8,51.2,21.07
44.4,24.6,60.2,21.22
43.4,25.9,72.0,13.62
60.6,28.0,65.2,14.86
20.6,23.8,70.2,14.77
76.6,25.2,74.9,12.44
35.3,23.4,54.8,18.38
56.4,27.3,69.5,10.59
29.5,23.4,70.2,16.7
28.1,24.8,69.9,16.39
28.7,25.6,66.6,16.43
46.5,23.9,61.6,16.37
61.5,28.2,58.0,16.15
64.1,23.3,55.8,18.41
15.2,23.6,63.0,17.35
35.2,22.4,64.1,17.04
53.7,26.0,61.2,16.3
54.3,25.1,58.4,19.67
36.9,27.0,58.4,16.13
67.0,25.4,71.7,14.83
44.1,26.2,68.4,15.22
69.0,27.4,75.3,9.04
47.9,27.2,66.3,12.23
35.4,23.6,60.9,21.61
49.1,26.6,55.5,18.09
37.1,19.7,53.0,20.77
31.9,29.5,70.2,11.04
43.1,23.4,68.8,14.87
47.9,22.0,58.4,21.83
48.3,27.7,59.4,18.27
65.3,24.0,65.6,9.07
31.9,26.3,67.0,18.22
39.3,23.5,68.1,15.89
29.4,22.0,61.6,17.63
62.7,26.8,67.0,12.88
48.3,25.9,58.0,20.65
35.3,24.7,68.8,11.01
44.6,25.6,58.0,19.51
29.0,26.0,72.8,12.67
39.7,25.9,63.0,21.04
50.7,23.1,62.3,16.39
16.2,22.9,66.6,17.52
59.9,24.2,70.2,7.11
53.2,25.8,69.2,9.68
72.2,25.5,69.5,13.23
47.3,24.3,61.6,18.28
58.8,19.1,51.5,14.24
57.6,24.1,64.5,12.73
30.0,28.0,78.2,15.48
39.9,27.9,67.0,10.85
29.6,25.9,67.4,11.99
27.0,23.4,57.6,20.02
24.3,21.7,57.6,24.86
64.4,25.7,68.8,7.9
58.3,25.1,67.0,16.02
62.9,25.9,61.2,15.75
46.5,28.0,63.0,13.07
38.6,24.0,53.7,19.54
33.7,22.3,51.9,21.28
41.9,24.7,55.5,25.55
76.4,27.0,56.9,17.17
40.3,28.1,73.5,13.06
41.9,28.0,77.4,13.64
23.3,27.8,69.5,11.34
50.2,24.1,70.2,10.57
43.2,22.9,61.2,13.1
66.1,23.5,65.6,12.85
59.1,26.0,68.4,10.35
72.8,24.5,73.5,7.73
54.1,26.3,64.5,17.71
40.5,24.0,68.1,13.82
29.2,24.8,67.4,17.04
38.4,24.0,58.0,25.55
31.2,27.2,59.1,22.54
1.8,26.4,56.6,24.62
18.3,22.3,72.0,15.98
42.8,23.0,64.5,20.41
38.6,24.1,69.9,18.02
44.8,25.6,55.8,25.39
60.0,26.6,60.2,15.29
63.5,23.7,62.7,16.64
40.0,23.7,72.0,14.92
49.3,27.1,62.3,14.88
52.5,27.7,61.6,17.06
26.3,23.9,55.8,23.33
56.8,26.2,69.5,14.73
47.8,27.3,57.3,25.2
39.0,28.5,65.6,14.41
31.5,25.8,71.0,17.01
37.0,23.3,63.0,14.76
48.5,28.8,78.9,8.82
36.4,24.8,72.8,16.29
56.9,25.1,58.0,16.48
60.1,25.5,57.6,25.35
79.0,24.1,63.4,16.01
17.3,23.2,62.7,21.14
60.9,21.5,53.7,13.52
50.6,24.3,60.5,16.8
27.1,25.4,65.2,16.06
57.1,26.2,53.3,21.84
44.7,23.0,64.1,13.83
60.6,26.0,73.8,15.8
38.5,27.1,63.8,18.27
62.3,27.4,76.7,7.8
45.6,22.2,56.9,15.72
26.6,24.9,55.5,18.42
42.6,22.6,62.0,17.8
74.4,24.6,56.2,16.79
52.6,28.7,55.8,22.03
33.0,23.2,64.5,15.75
57.5,26.5,54.4,14.6
40.4,25.4,62.7,17.06
46.4,23.7,57.3,24.11
34.7,24.6,64.8,20.42
74.9,23.5,61.6,12.83
36.8,23.5,51.5,19.05
44.0,24.6,59.4,18.57
54.8,24.3,60.5,22.24
81.2,24.7,65.2,15.54
29.0,24.1,64.8,14.48
41.4,25.7,62.7,14.36
32.0,25.7,61.6,17.51
57.9,25.7,62.7,17.59
60.2,22.8,49.0,18.01
46.2,24.2,62.3,17.93
45.6,27.5,75.6,10.85
59.3,23.9,59.8,19.88
55.5,25.8,59.8,16.23
47.4,22.3,65.2,15.42
61.2,27.3,63.0,13.85
25.5,25.3,71.3,17.49
15.5,27.9,64.5,19.82
52.1,25.2,61.2,19.63
51.8,22.4,49.7,16.63
71.3,26.5,65.6,11.95
63.8,26.1,55.5,19.08
31.2,22.2,65.2,19.26
59.1,25.8,66.6,15.97
54.4,21.3,60.9,19.15
57.7,27.5,54.8,20.92
36.2,24.2,56.2,17.81
41.6,26.9,71.7,14.54
40.3,28.5,67.0,12.29
40.8,26.0,76.0,12.83
58.8,25.4,74.2,11.35
48.9,22.7,64.5,14.27
58.1,26.7,60.9,13.74
50.3,22.9,60.2,16.28
68.6,24.7,60.2,15.25
50.5,27.7,73.1,8.19
62.6,24.3,69.9,13.9
40.8,27.9,51.2,23.1
39.7,23.8,66.6,13.73
30.0,23.2,56.6,24.67
45.8,27.3,71.7,15.1
61.7,23.9,67.7,13.47
69.8,26.4,59.4,19.26
